Sadanoumi Takashi,Sakaigawa,Kaname Matsumura,Matsumura → Sadanoumi,Maegashira #12,May 11, 1987,Kumamoto,184.0cm,140.0kg,migi-yotsu/yori
Shohozan Yuya,Nishonoseki,Yuya Matsutani,Matsutani → Shohozan,Maegashira #12,February 9, 1984,Fukuoka,178.0cm,133.0kg,/tsuki, oshi
Wakatakakage Atsushi,Arashio,Atsushi Onami,Wakatakakage,Maegashira #14,December 6, 1994,Fukushima,182.0cm,124.0kg,migi-yotsu/yori
Kotoshoho Yoshinari,Sadogatake,Toshiki Tebakari,Kototebakari → Kotoshoho,Maegashira #15,August 26, 1999,Chiba,191.0cm,165.0kg,migi-yotsu/yori
Nishikigi Tetsuya,Isenoumi,Tetsuya Kumagai,Kumagai → Nishikigi,Maegashira #16,August 25, 1990,Iwate,185.0cm,170.0kg,/oshi
Kotoeko Mitsunori,Sadogatake,Mitsutaka Kashiwadani,Kotokashiwadani → Kotoeko,Maegashira #16,November 20, 1991,Miyazaki,178.0cm,130.0kg,migi-yotsu/yori, oshi
Kotoyuki Kazuyoshi,Sadogatake,Yuki Enomoto,Kotoenomoto → Kotoyuki,Maegashira #17,April 2, 1991,Kagawa,175.0cm,177.0kg,/tsuki, oshi
Meisei Chikara,Tatsunami,Meisei Kawabata,Meisei,Juryo #1,July 24, 1995,Kagoshima,181.0cm,148.0kg,hidari-yotsu/yori
Tobizaru Masaya,Oitekaze,Masaya Iwasaki,Iwasaki → Tobizaru,Juryo #2,April 24, 1992,Tokyo,174.0cm,128.0kg,/oshi
Tochiozan Yuichiro,Kasugano,Yuichiro Kageyama,Kageyama → Tochiozan,Juryo #2,March 9, 1987,Kochi,187.0cm,151.0kg,migi-yotsu/yori
Kyokushuho Koki,Tomozuna,Tumurbaatar Erdenebaatar,Kyokushuho,Juryo #3,August 9, 1988,Mongolia,189.0cm,153.0kg,migi-yotsu/yori
Daiamami Genki,Oitekaze,Genki Sakamoto,Sakamoto → Daiamami,Juryo #4,December 15, 1992,Kagoshima,185.0cm,188.0kg,migi-yotsu/yori
Hidenoumi Takuya,Kise,Takuya Iwasaki,Iwasaki → Hidenoumi,Juryo #4,June 11, 1989,Tokyo,187.0cm,160.0kg,migi-yotsu/yori
Kyokutaisei Takuya,Tomozuna,Takuya Ogushi,Ogushi → Kyokutaisei,Juryo #5,October 18, 1989,Hokkaido,184.0cm,151.0kg,ryo-maemitsu/dashinage
Hakuyozan Ryosuke,Takadagawa,Ryosuke Saito,Hakuyozan,Juryo #6,April 13, 1995,Yamagata,187.0cm,168.0kg,/tsuki, oshi
Daishomaru Shogo,Oitekaze,Shogo Kawabata,Kawabata → Daishomaru,Juryo #7,July 10, 1991,Osaka,174.0cm,152.0kg,/tsuki, oshi
Tsurugisho Momotaro,Oitekaze,Kentaro Abiko,Abiko → Tsurugisho,Juryo #7,July 27, 1991,Tokyo,184.0cm,181.0kg,migi-yotsu/yori
Chiyootori Yuki,Kokonoe,Yuki Kinoshita,Okinoshita → Chiyootori,Juryo #8,October 11, 1992,Kagoshima,180.0cm,181.0kg,/tsuki, oshi
Akiseyama Mitsuhiko,Kise,Mitsuhiko Fukao,Fukao → Akiseyama,Juryo #9,July 18, 1985,Aichi,183.0cm,183.0kg,/tsuki, oshi
Fujiazuma Kazuyoshi,Tamanoi,Kazuyoshi Shibuya,Shibuya → Fujiazuma,Juryo #11,April 19, 1987,Tokyo,181.0cm,163.0kg,/oshi
Midorifuji Kazunari,Isegahama,Kazunari Ihara,Ihara → Midorifuji,Juryo #12,August 30, 1996,Shizuoka,172.0cm,108.0kg,/oshi, katasukashi
Chiyonoo Miyohito,Kokonoe,Miyohito Motoi,Motoi → Chiyoo → Chiyonoo,Juryo #12,May 29, 1991,Kagoshima,180.0cm,149.0kg,migi-yotsu/yori
Akua Shoma,Tatsunami,Yuki Takahata,Toyononami → Akua,Juryo #13,November 6, 1990,Ibaraki,183.0cm,163.0kg,/tsuki, oshi
Mitoryu Takayuki,Nishikido,Baasansuren Turbold,Mitoryu,Juryo #14,April 25, 1994,Mongolia,188.0cm,195.0kg,migi-yotsu/yori
